Price,QuantityInStock,WeightInGrams,LengthInCentimeters,WidthInCentimeters,UnitsSold
21395,17,1407,200,12705,360
22020,16,4369,78,8402,391
7767,41,5407,465,12366,148
26256,35,5014,53,12850,373
26963,39,9516,354,13401,14
2907,34,9472,273,14882,96
10314,43,5025,95,12001,222
14183,16,5144,475,7658,291
6800,47,2877,327,9039,155
24843,42,1166,260,14493,381
11814,24,8765,191,8385,110
12305,11,4513,190,8834,456
11171,22,7086,244,9946,405
12463,17,3771,440,13903,92
12659,19,6655,163,14690,401
10950,42,3898,150,5435,371
5242,19,5493,77,9505,407
19409,19,7405,490,8537,5
27609,40,5534,81,12141,126
2812,46,2251,57,11684,166
7363,14,1955,183,5032,190
12210,26,4273,425,10050,88
6157,33,1854,372,11336,324
11094,45,3031,318,10793,132
7785,23,6684,440,14932,483
11460,32,7633,62,4547,33
2723,31,4482,482,5100,446
28016,31,1035,124,13798,76
16578,17,5022,497,13820,388
20554,36,9431,322,10519,131
22915,11,4548,433,12878,370
20055,48,4986,202,12831,398
17563,12,9762,478,5580,323
3848,12,1479,490,6096,141
9098,47,1640,379,12149,425
19996,47,3679,121,11321,270
19590,48,6231,428,10335,104
24529,24,8700,397,5427,352
6616,10,9622,101,14832,273
24776,21,1715,298,6431,321
26439,30,2201,462,6896,331
21959,10,7571,348,5085,351
11117,15,9172,200,12127,78
19953,22,7150,128,4865,386
15175,15,3972,377,6399,153
27513,17,4394,370,7754,391
14622,47,1277,402,12636,372
20560,36,5636,368,10414,485
25892,24,4126,339,8017,175
25109,44,7958,197,5277,462
29858,46,5934,95,4057,343
7449,35,9950,293,8618,458
2419,30,6392,164,13968,327
26191,26,3894,457,13125,472
20132,26,2118,250,4682,243
12658,20,1049,84,11730,330
23110,20,7060,253,5916,304
29951,31,9045,452,9955,461
17118,17,7531,212,7895,57
2649,11,6810,232,10246,281
17725,12,7053,452,6897,223
23781,48,3632,455,13295,60
24915,13,4483,423,11842,444
9543,39,5560,385,9214,408
11269,33,9944,268,4516,90
21766,28,3778,457,14977,217
4911,48,7433,412,8691,460
3343,31,3315,310,10729,230
19116,19,6499,195,4786,283
19891,20,6196,338,4234,412
3378,34,5366,285,6472,341
14344,12,1607,313,4958,295
22081,28,9731,466,7132,217
23646,22,6799,277,13605,17
27869,38,9308,474,6510,493
27701,34,3148,78,13009,195
19720,45,5192,259,14988,497
28100,31,3417,352,5322,19
5140,10,9150,234,7285,94
19005,23,1944,431,10860,175
6793,29,5084,313,4882,450
19910,23,2758,191,4380,5
28444,10,4152,253,8789,234
21943,17,6665,365,13559,204
17059,32,2432,373,4212,452
2142,10,7329,225,4006,381
28853,15,6508,117,14587,480
26142,30,6983,371,8101,245
14671,22,6605,175,14588,383
13959,15,9039,458,9056,384
2314,11,3492,178,9998,484
4866,38,6818,255,14956,394
11376,14,2867,459,10397,351
11574,35,1460,69,4540,461
25724,17,5871,276,11368,268
21727,32,3975,317,12257,326
15627,19,6608,152,14139,396
24543,38,9375,230,9562,276
27182,21,9718,198,13358,376
11469,14,5780,89,4471,401
15677,40,1299,174,11945,33
4100,16,5022,251,9007,313
21049,22,4865,415,10798,287
9323,12,4325,298,6060,341
26555,21,8812,233,5660,63
6445,32,6459,319,9768,335
22500,21,6301,259,11866,328
28018,20,8940,348,8653,419
15204,33,6117,315,10969,141
24792,22,5815,188,4229,11
14819,20,7248,236,11863,52
14739,13,2730,497,4247,403
8337,10,2910,233,9131,37
17984,29,2137,117,9987,136
24724,40,8848,115,9968,294
